Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
srg_mcao_start_time,surgery_day,,text,MCAo start time,,,time,,,,[srg_conduct] = '1',y,,,,,
srg_post_doppler,surgery_day,,text,Doppler reading after MCAo,,,number,0,10000,,[srg_conduct] = '1',,,,,,
srg_ldf_drop,surgery_day,,calc,Post occlusion drop in Doppler reading (% dropped),"100 - roundup((([srg_post_doppler]/[srg_bl_doppler])*100),0)",,,,,,[srg_conduct] = '1',,,,,,
srg_concom_meds_sq,surgery_day,,radio,Was SQ bupivacaine administered?,"1, Yes|0, No",,,,,,[srg_conduct] = '1',y,,,,,
srg_concom_meds_sq_rsn,surgery_day,,text,"If bupivacaine not administered, specify reason",,,,,,,[srg_concom_meds_sq] = '0',,,,,,
srg_concom_meds_lrs_nacl,surgery_day,,radio,Was 1.0ml/100g warmed LRS or 0.9% NaCl administered?,"1, Yes | 0, No",,,,,,[srg_conduct] = '1',y,,,,,
srg_concom_meds_lrs_nacl_rsn,surgery_day,,text,"If LRS or 0.9% NaCl not administered, specify reason",,,,,,,[srg_concom_meds_lrs_nacl] = '0',,,,,,
srg_occlu_sleep_ind,surgery_day,,radio,Did the animal remain anesthesized during occlusion period?,"1, Yes | 0, No",,,,,,[srg_conduct] = '1',y,,,,,
srg_occlu_end,surgery_day,,text,MCAo surgery anesthesia end time,,,time,,,,[srg_occlu_sleep_ind]='0',,,,,,
srg_occlu_reperfsn_start,surgery_day,,text,Reperfusion anesthesia start time,,,time,,,,[srg_occlu_sleep_ind]='0',,,,,,
srg_normal,surgery_day,Neurological Deficit Score (NDS) Before Reperfusion (see SOP for details),radio,Normal,"1, Yes | 0, No",,,,,,[srg_conduct] = '1' and [srg_occlu_sleep_ind] = '0',,,,surgery_nds,,
srg_turning,surgery_day,,radio,Forelimb and torso turning to one side,"1, Yes | 0, No",,,,,,[srg_conduct] = '1' and [srg_normal] = '0',,,,surgery_nds,,
srg_circling,surgery_day,,radio,Circling,"1, Yes | 0, No",,,,,,[srg_conduct] = '1' and [srg_normal] = '0',,,,surgery_nds,,
srg_bear_wt,surgery_day,,radio,Unable to bear weight on one side,"1, Yes | 0, No",,,,,,[srg_conduct] = '1' and [srg_normal] = '0',,,,surgery_nds,,
srg_spontaneous,surgery_day,,radio,No spontaneous movement or barrel rolling,"1, Yes | 0, No",,,,,,[srg_conduct] = '1' and [srg_normal] = '0',,,,surgery_nds,,
srg_circling_direct,surgery_day,,radio,What direction is the animal circling?,"1, Right | 2, Left",,,,,,[srg_circling] = '1',,,,,,
srg_nds_score,surgery_day,,calc,Sum of score,"sum ([srg_normal]*0,[srg_turning], [srg_circling], [srg_bear_wt], [srg_spontaneous])",,,,,,,,,,,, @HIDDEN
srg_awake_min,surgery_day,,calc,How many minutes was the animal awake? ,"datediff([srg_occlu_reperfsn_start],[srg_occlu_end], ""m"")",Reperfusion anesthesia start time - MCAo surgery anesthesia end time,,,,,,y,,,,, @HIDDEN
srg_reperfsn_time_suture,surgery_day,REPERFUSION NOTES,text,Time of reperfusion,,,time,,,,[srg_conduct] = '1' and [itt_occlusion_model]= '1',,,,,,
srg_reperfsn_time_lytic,surgery_day,,text,Time of thrombolytic (reperfusion) administration,,Reperfusion in embolic model (See Experimental Protocol for details). Reminder: Vials used for reperfusion in the embolic model may be used for more than one animal. Please store in 4° refrigerator in between animals. Vial must be used within 72hrs once thawed.,time,,,,[srg_conduct] = '1' and [itt_occlusion_model]= '2',y,,,,,
srg_reperfsn_vial,surgery_day,,text,"If thromboembolic model, Vial ID for administration",,,,,,,[srg_conduct] = '1' and [itt_occlusion_model]= '2',,,,,,
srg_reperfsn_dose,surgery_day,,text,Dose of thrombolytic (mls),,,,,,,[srg_conduct] = '1' and [itt_occlusion_model]= '2',,,,,,
srg_anes_end,surgery_day,,text,Anesthesia end time,,,time,,,,[srg_conduct] = '1' and ([rand_admin_typ]= '1' or [rand_admin_typ]= '2' or [rand_admin_typ]= '5' ),y,,,,,
srg_exact_occ,surgery_day,,calc,"Exact occlusion period (minutes)
(CC view only)","datediff([srg_mcao_start_time],[srg_reperfsn_time_lytic],""m"")",,,,,,[srg_conduct] = '1',,,,,, @HIDDEN
srg_length_surgery,surgery_day,,calc,"Length of surgery (minutes) 
(CC view only)","datediff([srg_anes_start_time], [srg_anes_end], ""m"")",,,,,,[srg_conduct] = '1',,,,,, @HIDDEN
srg_comments,surgery_day,,checkbox,Surgery comments,"1, Excessive bleeding during surgery|2, No drop in Doppler flow|3, Doppler flow returned to baseline shortly after occlusion|4, Animal briefly stopped breathing during surgery|5, Animal died during surgery|6, Unable to advance occlusion suture|7, Animal died during occlusion period|8, Animal died during recovery after reperfusion|9, Other",Select all applicable,,,,,[srg_conduct] = '1',,,,,,
srg_comments_oth,surgery_day,,notes,"If other surgery comments, please specify",,,,,,,[srg_comments(9)] = '1',,,,,,
srg_admin_typ,surgery_day,Treatment Administered,radio,Treatment Intervention Administration,"1, IV | 2, IP | 3, RIC | 4, RIC Sham | 5, None | 6, PO",,,,,,[srg_conduct] = '1',y,,,,,
srg_admin_typ_rsn,surgery_day,,text,Why was intervention not administered?,,,,,,,[srg_admin_typ] = '5',,,,,,
srg_tx1_time,surgery_day,Surgery Day Treatment Information,text,Time dose #1 administered,,,time,,,,[srg_admin_typ] = '1' or [srg_admin_typ] = '2' or [srg_admin_typ] = '6',y,,,,,
srg_tx1_vial_id1,surgery_day,,text,Intervention vial ID,,,,,,,[srg_admin_typ] = '1' or [srg_admin_typ] = '2' or [srg_admin_typ] = '6',,,,,,
srg_tx1_dose,surgery_day,,text,Dose of intervention actually administered (mls),,,,,,,[srg_admin_typ] = '1' or [srg_admin_typ] = '2' or [srg_admin_typ] = '6',,,,,,
srg_tx1_rate,surgery_day,,text,"If IV, indicate rate intervention given (ml/hr)",,,,,,,[srg_admin_typ]='1',,,,,,
srg_tx1_vein,surgery_day,,radio,What vein was used to administer this IV intervention dose? ,"1, Left jugular vein | 2, Right jugular vein | 3, Tail vein | 4, Femoral vein | 5, Other",,,,,,[srg_admin_typ]='1',,,,,,
srg_tx1_vein_oth,surgery_day,,text,"If other IV site used, specify",,,,,,,[srg_tx1_vein] = '5',,,,,,
srg_tx1_iv_comments,surgery_day,,text,IV infusion #1 comments,,,,,,,[srg_admin_typ]='1',,,,,,
srg_tx1_entire,surgery_day,,radio,Was the entire dose administered?,"1, Yes | 0, No",,,,,,[srg_admin_typ] = '1' or [srg_admin_typ] = '2' or [srg_admin_typ] = '6',,,,,,
srg_tx1_entire_rsn,surgery_day,,radio,"If entire dose was not administered, provide reason","1, Animal died during or before infusion or injection | 2, Equipment failure | 3, Other",,,,,,[srg_tx1_entire]='0',,,,,,
srg_tx_entire1_rsn_oth,surgery_day,,text,"If other, please explain",,,,,,,[srg_tx1_entire_rsn] = '3',,,,,,
srg_tx2_anes_start,surgery_day,DOSE #2,text,Anesthesia start time for Dose #2,,,time,,,,[srg_admin_typ] = '1' and ([srg_tx1_entire] = '1' or (([srg_tx1_entire] = '0' and ([srg_tx1_entire_rsn] = '2' or [srg_tx1_entire_rsn] = '3')))),,,,,,
srg_tx2_time,surgery_day,,text,Time dose #2 administered,,,time,,,,([srg_admin_typ] = '1') and ([srg_tx1_entire] = '1' or (([srg_tx1_entire] = '0' and ([srg_tx1_entire_rsn] = '2' or [srg_tx1_entire_rsn] = '3')))),y,,,,,
srg_tx2_vial_id,surgery_day,,text,Intervention vial ID,,,,,,,([srg_admin_typ] = '1') and ([srg_tx1_entire] = '1' or (([srg_tx1_entire] = '0' and ([srg_tx1_entire_rsn] = '2' or [srg_tx1_entire_rsn] = '3')))),,,,,,
srg_tx2_dose,surgery_day,,text,Dose of intervention actually administered (mls),,,,,,,([srg_admin_typ] = '1') and ([srg_tx1_entire] = '1' or (([srg_tx1_entire] = '0' and ([srg_tx1_entire_rsn] = '2' or [srg_tx1_entire_rsn] = '3')))),,,,,,
srg_tx2_rate,surgery_day,,text,"If IV, indicate rate intervention given (ml/hr)",,,,,,,[srg_admin_typ] = '1'  and ([srg_tx1_entire] = '1' or (([srg_tx1_entire] = '0' and ([srg_tx1_entire_rsn] = '2' or [srg_tx1_entire_rsn] = '3')))),,,,,,
srg_tx2_vein,surgery_day,,radio,What vein was used to administer this IV intervention dose? ,"1, Left jugular vein | 2, Right jugular vein | 3, Tail vein | 4, Femoral vein | 5, Other",,,,,,[srg_admin_typ] = '1'  and ([srg_tx1_entire] = '1' or (([srg_tx1_entire] = '0' and ([srg_tx1_entire_rsn] = '2' or [srg_tx1_entire_rsn] = '3')))),,,,,,
srg_tx2_vein_oth,surgery_day,,text,"If other IV site used, specify",,,,,,,[srg_tx2_vein] = '5',,,,,,
srg_tx2_iv_comments,surgery_day,,text,IV infusion #2 comments,,,,,,,[srg_admin_typ] = '1'  and ([srg_tx1_entire] = '1' or (([srg_tx1_entire] = '0' and ([srg_tx1_entire_rsn] = '2' or [srg_tx1_entire_rsn] = '3')))),,,,,,
srg_tx2_entire,surgery_day,,radio,Was the entire dose administered?,"1, Yes | 0, No",,,,,,([srg_admin_typ] = '1') and ([srg_tx1_entire] = '1' or (([srg_tx1_entire] = '0' and ([srg_tx1_entire_rsn] = '2' or [srg_tx1_entire_rsn] = '3')))),,,,,,
srg_tx2_entire_rsn,surgery_day,,radio,"If entire dose was not administered, provide reason","1, Animal died during or before infusion or injection | 2, Equipment failure | 3, Other",,,,,,[srg_tx2_entire] = '0',,,,,,
srg_tx2_entire_rsn_oth,surgery_day,,text,"If other, please explain",,,,,,,[srg_tx2_entire_rsn] = '3',,,,,,
srg_tx2_anes_end,surgery_day,,text,Anesthesia end time for Dose #2,,,time,,,,[srg_admin_typ] = '1' and ([srg_tx1_entire] = '1' or (([srg_tx1_entire] = '0' and ([srg_tx1_entire_rsn] = '2' or [srg_tx1_entire_rsn] = '3')))),,,,,,
srg_tx2_anes_length,surgery_day,,calc,Length of anesthesia for Dose #2 ,"datediff([srg_tx2_anes_start],[srg_tx2_anes_end], ""m"")",end time-start time,,,,,,,,,,, @HIDDEN
srg_tx3_anes_start,surgery_day,DOSE #3,text,Anesthesia start time for Dose #3,,,time,,,,[srg_admin_typ] = '1' and ([srg_tx2_entire] = '1' or (([srg_tx2_entire] = '0' and ([srg_tx2_entire_rsn] = '2' or [srg_tx2_entire_rsn] = '3')))),,,,,,
srg_tx3_time,surgery_day,,text,Time dose #3 administered,,,time,,,,[srg_admin_typ] = '1' and ([srg_tx2_entire] = '1' or (([srg_tx2_entire] = '0' and ([srg_tx2_entire_rsn] = '2' or [srg_tx2_entire_rsn] = '3')))),y,,,,,
srg_tx3_vial_id3,surgery_day,,text,Intervention vial ID,,,,,,,[srg_admin_typ] = '1' and ([srg_tx2_entire] = '1' or (([srg_tx2_entire] = '0' and ([srg_tx2_entire_rsn] = '2' or [srg_tx2_entire_rsn] = '3')))),,,,,,
srg_tx3_dose,surgery_day,,text,Dose of intervention actually administered (mls),,,,,,,[srg_admin_typ] = '1' and ([srg_tx2_entire] = '1' or (([srg_tx2_entire] = '0' and ([srg_tx2_entire_rsn] = '2' or [srg_tx2_entire_rsn] = '3')))),,,,,,
srg_tx3_rate,surgery_day,,text,"If IV, indicate rate intervention given (ml/hr)",,,,,,,[srg_admin_typ] = '1' and ([srg_tx2_entire] = '1' or (([srg_tx2_entire] = '0' and ([srg_tx2_entire_rsn] = '2' or [srg_tx2_entire_rsn] = '3')))),,,,,,
srg_tx3_vein,surgery_day,,radio,What vein was used to administer this IV intervention dose? ,"1, Left jugular vein | 2, Right jugular vein | 3, Tail vein | 4, Femoral vein | 5, Other",,,,,,[srg_admin_typ] = '1' and ([srg_tx2_entire] = '1' or (([srg_tx2_entire] = '0' and ([srg_tx2_entire_rsn] = '2' or [srg_tx2_entire_rsn] = '3')))),,,,,,
srg_tx3_vein_oth,surgery_day,,text,"If other IV site used, specify",,,,,,,[srg_tx3_vein] = '5',,,,,,
srg_tx3_iv_comments,surgery_day,,text,IV infusion #3 comments,,,,,,,[srg_admin_typ] = '1' and ([srg_tx2_entire] = '1' or (([srg_tx2_entire] = '0' and ([srg_tx2_entire_rsn] = '2' or [srg_tx2_entire_rsn] = '3')))),,,,,,
srg_tx3_entire,surgery_day,,radio,Was the entire dose administered?,"1, Yes | 0, No",,,,,,[srg_admin_typ] = '1' and ([srg_tx2_entire] = '1' or (([srg_tx2_entire] = '0' and ([srg_tx2_entire_rsn] = '2' or [srg_tx2_entire_rsn] = '3')))),,,,,,
srg_tx3_entire_rsn,surgery_day,,radio,"If entire dose was not administered, provide reason","1, Animal died during or before infusion or injection | 2, Equipment failure | 3, Other",,,,,,[srg_tx3_entire] = '0',,,,,,
srg_tx3_entire_rsn_oth,surgery_day,,text,"If other, please explain",,,,,,,[srg_tx3_entire_rsn] = '3',,,,,,
srg_tx3_anes_end,surgery_day,,text,Anesthesia end time for Dose #3,,,time,,,,[srg_admin_typ] = '1' and ([srg_tx2_entire] = '1' or (([srg_tx2_entire] = '0' and ([srg_tx2_entire_rsn] = '2' or [srg_tx2_entire_rsn] = '3')))),,,,,,
srg_tx3_anes_length,surgery_day,,calc,Length of anesthesia for Dose #3,"datediff([srg_tx3_anes_start],[srg_tx3_anes_end], ""m"")",end time-start time,,,,,,,,,,, @HIDDEN
postop_conducted,post_operative_log,,radio,Was this assessment/procedure conducted?,"1, Yes|0, No",,,,,,[randomization_complete] = '2',y,,,,,
postop_conducted_rsn,post_operative_log,,radio,"If not conducted, specify reason","1, Animal death|2, Equipment failure|3, Other",,,,,,[postop_conducted] = '0',,,,,,
postop_conduct_rsn_oth,post_operative_log,,text,"If other reason not conducted, specify",,,,,,,[postop_conducted_rsn] = '3',,,,,,
postop_d1_info,post_operative_log,"<div class=""rich-text-field-label""><h5><span style=""color: #0000ff;"">Post Operative Day 1</span></h5></div>",radio,Was post-operative Day 1 information collected?,"1, Yes|0, No",,,,,,[postop_conducted] = '1',,,,,,
postop_d1_info_rsn,post_operative_log,,text,"If post-operative Day 1 information not collected, specify reason",,,,,,,[postop_d1_info] = '0',,,,,,
postop_d1_dt,post_operative_log,,text,Date of observation,,,date_mdy,,,,[postop_d1_info] = '1',y,,,,,
postop_d1_timept,post_operative_log,,calc,Observation timepoint (days since surgery),"datediff([srg_actual_surg_dt],[postop_d1_dt], 'd', 'mdy', true)",,,,,,[postop_d1_info] = '1',,,,,,
postop_d1_normal,post_operative_log,Neurological Deficit Score (NDS),radio,Normal,"1, Yes | 0, No",,,,,,[postop_d1_info] = '1',,,,postop_d1_nds,,
postop_d1_turning,post_operative_log,,radio,Forelimb and torso turning to one side,"1, Yes | 0, No",,,,,,[postop_d1_normal] = '0',,,,postop_d1_nds,,
postop_d1_circling,post_operative_log,,radio,Circling,"1, Yes | 0, No",,,,,,[postop_d1_normal] = '0',,,,postop_d1_nds,,
postop_d1_bear_wt,post_operative_log,,radio,Unable to bear weight on one side,"1, Yes | 0, No",,,,,,[postop_d1_normal] = '0',,,,postop_d1_nds,,
postop_d1_spontaneous,post_operative_log,,radio,No spontaneous movement or barrel rolling,"1, Yes | 0, No",,,,,,[postop_d1_normal] = '0',,,,postop_d1_nds,,
postop_d1_circling_direct,post_operative_log,,radio,What direction is the animal circling?,"1, Right | 2, Left",,,,,,[postop_d1_circling] = '1',,,,,,
postop_d1_nds_score,post_operative_log,,calc,Sum of score,"sum ([postop_d1_normal]*0,[postop_d1_turning], [postop_d1_circling], [postop_d1_bear_wt], [postop_d1_spontaneous])",,,,,,,,,,,, @HIDDEN
postop_d1_weight,post_operative_log,,text,Weight (g),,,number,,,,[postop_d1_info] = '1',y,,,,,
postop_d1_more_tx,post_operative_log,,radio,Were additional treatments administered?,"1, Yes|0, No",,,,,,[postop_d1_info] = '1',,,,,,
postop_d1_tx_typ,post_operative_log,,checkbox,Treatments administered,"1, SQ fluids|2, Pain medication|3, Soaked chow",Select all applicable,,,,,[postop_d1_more_tx] = '1',,,,,,
postop_d1_tx_add_drug,post_operative_log,,text,"If pain medication administered, specify drug name",,,,,,,[postop_d1_tx_typ(2)] = '1',,,,,,
postop_d1_tx_add_drug_dose,post_operative_log,,text,"If pain medication administered, specify drug dosage",,,,,,,[postop_d1_tx_typ(2)] = '1',,,,,,
postop_d1_body_notes,post_operative_log,,text,Body condition notes ,,,,,,,[postop_d1_info] = '1',,,,,,
postop_d1_general_notes,post_operative_log,,text,General condition comments ,,,,,,,[postop_d1_info] = '1',,,,,,
postop_d2_info,post_operative_log,"<div class=""rich-text-field-label""><h5><span style=""color: #ff6600;"">Post Operative Day 2</span></h5></div>",radio,Was post-operative Day 2 information collected?,"1, Yes|0, No",,,,,,[postop_conducted] = '1',,,,,,
postop_d2_info_rsn,post_operative_log,,text,"If post-operative Day 2 information not collected, specify  reason",,,,,,,[postop_d2_info] = '0',,,,,,
postop_d2_dt,post_operative_log,,text,Date of observation,,,date_mdy,,,,[postop_d2_info] = '1',y,,,,,
postop_d2_timept,post_operative_log,,calc,Observation timepoint (days since surgery),"datediff([srg_actual_surg_dt],[postop_d2_dt], 'd', 'mdy', true)",,,,,,[postop_d2_info] = '1',,,,,,
postop_d2_normal,post_operative_log,Neurological Deficit Score (NDS),radio,Normal,"1, Yes | 0, No",,,,,,[postop_d2_info] = '1',,,,postop_d2_nds,,
postop_d2_turning,post_operative_log,,radio,Forelimb and torso turning to one side,"1, Yes | 0, No",,,,,,[postop_d2_normal] = '0',,,,postop_d2_nds,,
postop_d2_circling,post_operative_log,,radio,Circling,"1, Yes | 0, No",,,,,,[postop_d2_normal] = '0',,,,postop_d2_nds,,
postop_d2_bear_wt,post_operative_log,,radio,Unable to bear weight on one side,"1, Yes | 0, No",,,,,,[postop_d2_normal] = '0',,,,postop_d2_nds,,
postop_d2_spontaneous,post_operative_log,,radio,No spontaneous movement or barrel rolling,"1, Yes | 0, No",,,,,,[postop_d2_normal] = '0',,,,postop_d2_nds,,
postop_d2_circling_direct,post_operative_log,,radio,What direction is the animal circling?,"1, Right | 2, Left",,,,,,[postop_d2_circling] = '1',,,,,,
postop_d2_nds_score,post_operative_log,,calc,Sum of score,"sum ([postop_d2_normal]*0,[postop_d2_turning], [postop_d2_circling], [postop_d2_bear_wt], [postop_d2_spontaneous])",,,,,,,,,,,, @HIDDEN
postop_d2_weight,post_operative_log,,text,Weight (g),,,number,,,,[postop_d2_info] = '1',y,,,,,
postop_d2_more_tx,post_operative_log,,radio,Were additional treatments administered?,"1, Yes|0, No",,,,,,[postop_d2_info] = '1',,,,,,
postop_d2_tx_typ,post_operative_log,,checkbox,Treatments administered,"1, SQ fluids|2, Pain medication|3, Soaked chow",Select all applicable,,,,,[postop_d2_more_tx] = '1',,,,,,
postop_d2_tx_add_drug,post_operative_log,,text,"If pain medication administered, specify drug name",,,,,,,[postop_d2_tx_typ(2)] = '1',,,,,,
postop_d2_tx_add_drug_dose,post_operative_log,,text,"If pain medication administered, specify drug dosage",,,,,,,[postop_d2_tx_typ(2)] = '1',,,,,,
postop_d2_body_notes,post_operative_log,,text,Body condition notes ,,,,,,,[postop_d2_info] = '1',,,,,,
postop_d2_general_notes,post_operative_log,,text,General condition comments ,,,,,,,[postop_d2_info] = '1',,,,,,
postop_d3_weight,post_operative_log,"<div class=""rich-text-field-label""><h5><span style=""color: #800080;"">Post Operative Day 3 to Day 8</span></h5></div>",text,Day 3 Weight (g),,,number,,,,[postop_conducted] = '1',,,,,,
postop_d4_weight,post_operative_log,,text,Day 4 Weight (g),,,number,,,,[postop_conducted] = '1',,,,,,
postop_d5_weight,post_operative_log,,text,Day 5 Weight (g),,,number,,,,[postop_conducted] = '1',,,,,,
postop_d6_weight,post_operative_log,,text,Day 6 Weight (g),,,number,,,,[postop_conducted] = '1',,,,,,
postop_d7_weight,post_operative_log,,text,Day 7 Weight (g),,,number,,,,[postop_conducted] = '1',,,,,,
postop_d8_weight,post_operative_log,,text,Day 8 Weight (g),,,number,,,,[postop_conducted] = '1',,,,,,
postop_d3_d7_subq_admin,post_operative_log,,yesno,Were SQ fluids administered twice a day post-operatively on Day 3 - Day 7? ,,,,,,,[postop_conducted] = '1',,,,,,
postop_d3_d7_subq_rsn,post_operative_log,,text,"If not administered, specify reason",,,,,,,[postop_d3_d7_subq_admin] = '0',,,,,,
postop_subq_d3,post_operative_log,Day 3 - Day 7 Post-operative Subcutaneous Fluid Administration,radio,Day 3,"1, Yes | 0, No",,,,,,[postop_d3_d7_subq_admin]='1',,,,postop_subq_admin,,
postop_subq_d4,post_operative_log,,radio,Day 4,"1, Yes | 0, No",,,,,,[postop_d3_d7_subq_admin]='1',,,,postop_subq_admin,,
postop_subq_d5,post_operative_log,,radio,Day 5,"1, Yes | 0, No",,,,,,[postop_d3_d7_subq_admin]='1',,,,postop_subq_admin,,
postop_subq_d6,post_operative_log,,radio,Day 6,"1, Yes | 0, No",,,,,,[postop_d3_d7_subq_admin]='1',,,,postop_subq_admin,,
postop_subq_d7,post_operative_log,,radio,Day 7,"1, Yes | 0, No",,,,,,[postop_d3_d7_subq_admin]='1',,,,postop_subq_admin,,
ip_pop_conducted,ip_post_operative_treatments,,radio,Was this assessment/procedure conducted?,"1, Yes | 0, No",,,,,,[rand_admin_typ]='2',y,,,,,
ip_pop_conducted_rsn,ip_post_operative_treatments,,radio,"If other reason not conducted, specify","1, Animal death | 2, Equipment failure | 3, Other",,,,,,[ip_pop_conducted] = '0',,,,,,
ip_pop_conduct_rsn_oth,ip_post_operative_treatments,,text,"If other reason not conducted, specify",,,,,,,[ip_pop_conducted_rsn] = '3',,,,,,
ip_pop_vial_id2_admin,ip_post_operative_treatments,"<div class=""rich-text-field-label""><h5><span style=""color: #3598db;"">Dose #2</span></h5></div>",radio,Was dose #2 administered?,"1, Yes | 0, No",,,,,,[ip_pop_conducted] = '1',,,,,,
ip_pop_vial_id2_admin_rsn,ip_post_operative_treatments,,text,"If not administered, specify reason",,,,,,,[ip_pop_vial_id2_admin] = '0',,,,,,
ip_pop_vial_id2_admin_dtt,ip_post_operative_treatments,,text,Intervention administration date and time,,,datetime_mdy,,,,[ip_pop_vial_id2_admin] = '1',y,,,,,
ip_pop_vial_id2,ip_post_operative_treatments,,text,Intervention vial ID,,,,,,,[ip_pop_vial_id2_admin] = '1',y,,,,,
ip_pop_dose2,ip_post_operative_treatments,,text,Intervention dose (mls),,,number,,,,[ip_pop_vial_id2_admin] = '1',y,,,,,
ip_pop_vial_id2_comments,ip_post_operative_treatments,,text,Comments,,,,,,,[ip_pop_vial_id2_admin] = '1',,,,,,
ip_pop_vial_id3_admin,ip_post_operative_treatments,"<div class=""rich-text-field-label""><h5><span style=""color: #3366ff;"">Dose #3</span></h5></div>",radio,Was dose #3 administered?,"1, Yes | 0, No",,,,,,[ip_pop_conducted] = '1',,,,,,
ip_pop_vial_id3_admin_rsn,ip_post_operative_treatments,,text,"If not administered, specify reason",,,,,,,[ip_pop_vial_id3_admin] = '0',,,,,,
ip_pop_vial_id3_admin_dtt,ip_post_operative_treatments,,text,Intervention administration date and time,,,datetime_mdy,,,,[ip_pop_vial_id3_admin] = '1',y,,,,,
ip_pop_vial_id3,ip_post_operative_treatments,,text,Intervention vial ID,,,,,,,[ip_pop_vial_id3_admin] = '1',y,,,,,
ip_pop_dose3,ip_post_operative_treatments,,text,Intervention dose (mls),,,number,,,,[ip_pop_vial_id3_admin] = '1',y,,,,,
ip_pop_vial_id3_comments,ip_post_operative_treatments,,text,Comments,,,,,,,[ip_pop_vial_id3_admin] = '1',,,,,,
ip_pop_vial_id4_admin,ip_post_operative_treatments,"<div class=""rich-text-field-label""><h5><span style=""color: #3366ff;"">Dose #4</span></h5></div>",radio,Was dose #4 administered?,"1, Yes | 0, No",,,,,,[ip_pop_conducted] = '1',,,,,,
ip_pop_vial_id4_admin_rsn,ip_post_operative_treatments,,text,"If not administered, specify reason",,,,,,,[ip_pop_vial_id4_admin] = '0',,,,,,
ip_pop_vial_id4_admin_dtt,ip_post_operative_treatments,,text,Intervention administration date and time,,,datetime_mdy,,,,[ip_pop_vial_id4_admin] = '1',y,,,,,
ip_pop_vial_id4,ip_post_operative_treatments,,text,Intervention vial ID,,,,,,,[ip_pop_vial_id4_admin] = '1',y,,,,,
ip_pop_dose4,ip_post_operative_treatments,,text,Intervention dose (mls),,,number,,,,[ip_pop_vial_id4_admin] = '1',y,,,,,
ip_pop_vial_id4_comments,ip_post_operative_treatments,,text,Comments,,,,,,,[ip_pop_vial_id4_admin] = '1',,,,,,
corner_bl_conduct,behavior_baseline_recording,,radio,Was a baseline corner test conducted?,"1, Yes|0, No",,,,,,,y,,,,,
corner_bl_conduct_rsn,behavior_baseline_recording,,radio,"If not conducted, specify reason","1, Animal death | 2, Equipment failure | 3, Not in experimental protocol | 4, Other",,,,,,[corner_bl_conduct] = '0',,,,,,
corner_bl_conduct_rsn_oth,behavior_baseline_recording,,text,"If other reason not conducted, specify",,,,,,,[corner_bl_conduct_rsn] = '4',,,,,,
corner_bl_dt,behavior_baseline_recording,,text,Testing date,,,date_mdy,,,,[corner_bl_conduct] = '1',y,,,,,
corner_bl_since_surg,behavior_baseline_recording,,calc,Days since surgery,"datediff([srg_actual_surg_dt],[corner_bl_dt], ""d"", ""mdy"", true)",,,,,,[corner_bl_conduct] = '1',,,,,,
corner_bl_out_window,behavior_baseline_recording,,radio,Was testing done within expected window?,"1, Yes|0, No",,,,,,[corner_bl_conduct] = '1',,,,,,
corner_bl_out_window_rsn,behavior_baseline_recording,,text,"If testing not done within expected window, specify reason",,,,,,,[corner_bl_out_window]='0',,,,,,
corner_bl_cmts,behavior_baseline_recording,,checkbox,Testing comments,"1, Animal could not complete test/complete 10 turns | 2, Recording equipment malfunction | 3, Disruption during recording | 4, Other",,,,,,[corner_bl_conduct] = '1',,,,,,
corner_bl_cmts_oth,behavior_baseline_recording,,text,"If other testing comment, specify",,,,,,,[corner_bl_cmts(4)] = '1',,,,,,
corner_bl_performed_by,behavior_baseline_recording,,text,Testing performed by,,REDCap ID,,,,,[corner_bl_conduct] = '1',,,,,,
corner_bl_record,behavior_baseline_recording,,radio,Was the test recorded?,"1, Yes | 0, No",,,,,,[corner_bl_conduct] = '1',,,,,,
corner_bl_record_rsn,behavior_baseline_recording,,text,"If test not recorded, specify reason",,,,,,,[corner_bl_record] = '0',,,,,,
corner_bl_upload_ida,behavior_baseline_recording,,radio,Was the recording uploaded to the IDA?,"1, Yes|0, No",,,,,,[corner_bl_conduct] = '1',y,,,,,
corner_bl_upload_ida_rsn,behavior_baseline_recording,,text,Reason recording not uploaded to the IDA,,,,,,,[corner_bl_upload_ida] = '0',,,,,,
corner_bl_ida_dt,behavior_baseline_recording,,text,Date of upload to the IDA,,,date_mdy,,,,[corner_bl_upload_ida] = '1',y,,,,,
corner_bl_local_file,behavior_baseline_recording,,text,Local recording file name,,,,,,,[corner_bl_upload_ida] = '1',,,,,,
mri_d2_conduct,early_mri,,radio,Was this assessment/procedure conducted?,"1, Yes | 0, No",,,,,,[randomization_complete] = '2',,,,,,
mri_d2_conduct_rsn,early_mri,,radio,"If not conducted, specify reason","1, Animal death | 2, Equipment failure | 3, Other",,,,,,[mri_d2_conduct] = '0',,,,,,
mri_d2_conduct_rsn_oth,early_mri,,text,"If other reason not conducted, specify",,,,,,,[mri_d2_conduct_rsn] = '3',,,,,,
mri_d2_scan_dt,early_mri,,text,Date of MRI scan,,,date_mdy,,,,[mri_d2_conduct] = '1',,,,,,
